wse,width,area_total,time_str,node_q,p_dist_out,wse_units,width_units,area_total_units,p_dist_out_units
149.43847,280.990756,56228.8,2023-10-19T22:23:41Z,1,2338927.0,m,m,m^2,m
149.37559,151.333245,30283.2,2023-10-29T07:30:41Z,1,2338927.0,m,m,m^2,m
149.57219,181.767049,36373.2,2023-11-09T19:08:46Z,1,2338927.0,m,m,m^2,m
149.64435,139.528981,27921.0,2023-11-19T04:15:46Z,1,2338927.0,m,m,m^2,m
149.26249,210.239957,42070.9,2023-11-30T15:53:52Z,1,2338927.0,m,m,m^2,m
149.37915,193.96418,38814.0,2023-12-10T01:00:51Z,2,2338927.0,m,m,m^2,m
154.08011,27.160377,5435.0,2023-12-21T12:38:56Z,3,2338927.0,m,m,m^2,m
149.80459,167.302075,33478.7,2023-12-30T21:45:57Z,1,2338927.0,m,m,m^2,m
150.35468,242.182185,48462.8,2024-01-11T09:24:01Z,1,2338927.0,m,m,m^2,m
151.23007,155.117072,31040.3,2024-01-20T18:31:02Z,1,2338927.0,m,m,m^2,m
153.58216,634.784987,127026.2,2024-02-01T06:09:07Z,1,2338927.0,m,m,m^2,m
150.58765,132.764077,26567.3,2024-02-10T15:16:07Z,1,2338927.0,m,m,m^2,m
149.81786,153.365413,30689.8,2024-02-22T02:54:12Z,1,2338927.0,m,m,m^2,m
150.16038,190.649981,38150.8,2024-03-02T12:01:12Z,1,2338927.0,m,m,m^2,m
150.75192,139.458537,27906.9,2024-03-13T23:39:15Z,1,2338927.0,m,m,m^2,m
150.30755,168.16652,33651.6,2024-03-23T08:46:15Z,1,2338927.0,m,m,m^2,m
153.62256,743.53797,148788.7,2024-04-03T20:24:19Z,2,2338927.0,m,m,m^2,m
153.92507,382.135985,76468.9,2024-04-13T05:31:21Z,2,2338927.0,m,m,m^2,m
151.85324,657.194425,131510.6,2024-04-24T17:09:26Z,1,2338927.0,m,m,m^2,m
151.58747,175.116238,35042.3,2024-05-04T02:16:23Z,1,2338927.0,m,m,m^2,m
150.63576,181.242962,36268.4,2024-05-15T13:54:30Z,1,2338927.0,m,m,m^2,m
150.13556,183.242569,36668.5,2024-05-24T23:01:28Z,2,2338927.0,m,m,m^2,m
150.22612,303.663582,60765.8,2024-06-05T10:39:36Z,1,2338927.0,m,m,m^2,m
149.87506,195.507853,39122.9,2024-06-14T19:46:35Z,0,2338927.0,m,m,m^2,m
150.00439,155.855726,31188.1,2024-06-26T07:24:39Z,1,2338927.0,m,m,m^2,m
149.80536,184.905274,37001.2,2024-07-05T16:31:37Z,1,2338927.0,m,m,m^2,m
152.66912,232.823289,46590.0,2024-07-17T04:09:43Z,1,2338927.0,m,m,m^2,m
150.12022,122.664997,24546.4,2024-07-26T13:16:43Z,0,2338927.0,m,m,m^2,m
149.65164,203.951649,40812.6,2024-08-07T00:54:48Z,1,2338927.0,m,m,m^2,m
149.45441,165.696804,33157.4,2024-08-16T10:01:48Z,1,2338927.0,m,m,m^2,m
149.30107,306.045345,61242.4,2024-08-27T21:39:52Z,1,2338927.0,m,m,m^2,m
149.26986,159.354637,31888.3,2024-09-06T06:46:53Z,2,2338927.0,m,m,m^2,m
149.71919,175.739067,35167.0,2024-09-17T18:24:58Z,2,2338927.0,m,m,m^2,m
149.37423,217.313965,43486.5,2024-10-08T15:10:05Z,1,2338927.0,m,m,m^2,m
149.31231,110.432662,22098.6,2024-10-18T00:17:05Z,1,2338927.0,m,m,m^2,m
149.30738,144.406565,28897.1,2024-10-29T11:55:09Z,1,2338927.0,m,m,m^2,m
149.39166,225.073246,45039.2,2024-11-19T08:40:13Z,1,2338927.0,m,m,m^2,m
149.50352,170.560481,34130.7,2024-11-28T17:47:14Z,1,2338927.0,m,m,m^2,m
-999999999999.0,21.082724,4218.8,2024-12-10T05:25:18Z,3,2338927.0,m,m,m^2,m
149.41051,143.114432,28638.5,2024-12-19T14:32:18Z,1,2338927.0,m,m,m^2,m
149.91822,147.305576,29477.2,2025-01-09T11:17:22Z,2,2338927.0,m,m,m^2,m
149.96067,154.596343,30936.1,2025-01-20T22:55:27Z,1,2338927.0,m,m,m^2,m
149.79166,139.228212,27860.8,2025-01-30T08:02:27Z,1,2338927.0,m,m,m^2,m
149.28646,267.956326,53620.5,2025-02-10T19:40:30Z,1,2338927.0,m,m,m^2,m
149.32526,134.58668,26932.0,2025-02-20T04:47:32Z,1,2338927.0,m,m,m^2,m
148.94619,334.143349,64029.8,2023-07-28T11:23:22Z,1,2339119.0,m,m,m^2,m
147.44266,160.714222,30796.7,2023-08-06T20:30:23Z,1,2339119.0,m,m,m^2,m
149.35092,180.139266,34519.0,2023-08-27T17:15:28Z,1,2339119.0,m,m,m^2,m
149.0007,313.956883,60161.6,2023-09-08T04:53:34Z,1,2339119.0,m,m,m^2,m
149.12166,184.927756,35436.6,2023-09-17T14:00:34Z,1,2339119.0,m,m,m^2,m
148.98285,239.978966,45985.7,2023-09-29T01:38:37Z,1,2339119.0,m,m,m^2,m
149.65423,49.739807,9531.3,2023-10-08T10:45:35Z,1,2339119.0,m,m,m^2,m
148.82511,328.956312,63035.8,2023-10-19T22:23:41Z,1,2339119.0,m,m,m^2,m
149.4913,194.387818,37249.3,2023-10-29T07:30:41Z,1,2339119.0,m,m,m^2,m
149.52979,274.540316,52608.5,2023-11-09T19:08:46Z,1,2339119.0,m,m,m^2,m
149.56564,118.082502,22627.4,2023-11-19T04:15:46Z,1,2339119.0,m,m,m^2,m
149.39355,243.317398,46625.4,2023-11-30T15:53:52Z,1,2339119.0,m,m,m^2,m
149.44969,193.141369,37010.5,2023-12-10T01:00:51Z,2,2339119.0,m,m,m^2,m
-999999999999.0,126.343518,24210.4,2023-12-21T12:38:56Z,3,2339119.0,m,m,m^2,m
149.64009,201.298873,38573.6,2023-12-30T21:45:57Z,1,2339119.0,m,m,m^2,m
150.40027,261.763443,50160.1,2024-01-11T09:24:01Z,1,2339119.0,m,m,m^2,m
151.25361,147.639638,28291.3,2024-01-20T18:31:02Z,1,2339119.0,m,m,m^2,m
153.6785,532.509271,102041.4,2024-02-01T06:09:07Z,1,2339119.0,m,m,m^2,m
150.60207,194.957706,37358.5,2024-02-10T15:16:07Z,1,2339119.0,m,m,m^2,m
150.15869,280.697031,53788.2,2024-02-22T02:54:12Z,1,2339119.0,m,m,m^2,m
150.1168,161.849503,31014.2,2024-03-02T12:01:12Z,1,2339119.0,m,m,m^2,m
150.60452,254.269238,48724.0,2024-03-13T23:39:15Z,1,2339119.0,m,m,m^2,m
150.40039,179.878911,34469.1,2024-03-23T08:46:15Z,1,2339119.0,m,m,m^2,m
153.66831,858.824982,164571.3,2024-04-03T20:24:19Z,2,2339119.0,m,m,m^2,m
153.97237,380.538782,72920.3,2024-04-13T05:31:20Z,2,2339119.0,m,m,m^2,m
151.53212,1027.958595,196981.3,2024-04-24T17:09:26Z,1,2339119.0,m,m,m^2,m
151.58112,157.727307,30224.3,2024-05-04T02:16:23Z,1,2339119.0,m,m,m^2,m
150.66443,254.530909,48774.2,2024-05-15T13:54:30Z,1,2339119.0,m,m,m^2,m
150.20037,194.71074,37311.2,2024-05-24T23:01:28Z,2,2339119.0,m,m,m^2,m
150.24303,232.352441,44524.3,2024-06-05T10:39:36Z,1,2339119.0,m,m,m^2,m
149.89911,205.547807,39387.8,2024-06-14T19:46:35Z,0,2339119.0,m,m,m^2,m
149.73394,364.747096,69894.2,2024-06-26T07:24:39Z,1,2339119.0,m,m,m^2,m
149.8231,129.411392,24798.3,2024-07-05T16:31:37Z,1,2339119.0,m,m,m^2,m
152.63471,174.717386,33480.0,2024-07-17T04:09:43Z,1,2339119.0,m,m,m^2,m
150.10161,138.672369,26572.9,2024-07-26T13:16:43Z,0,2339119.0,m,m,m^2,m
149.63126,237.425339,45496.3,2024-08-07T00:54:48Z,1,2339119.0,m,m,m^2,m
149.35988,195.248456,37414.2,2024-08-16T10:01:48Z,1,2339119.0,m,m,m^2,m
149.41694,255.318338,48925.1,2024-08-27T21:39:52Z,1,2339119.0,m,m,m^2,m
149.26037,201.101756,38535.9,2024-09-06T06:46:53Z,2,2339119.0,m,m,m^2,m
-999999999999.0,74.142064,14207.4,2024-09-17T18:24:58Z,3,2339119.0,m,m,m^2,m
149.41995,194.559078,37282.1,2024-10-08T15:10:05Z,1,2339119.0,m,m,m^2,m
149.38955,153.669208,29446.7,2024-10-18T00:17:05Z,1,2339119.0,m,m,m^2,m
149.32035,137.46931,26342.4,2024-10-29T11:55:09Z,1,2339119.0,m,m,m^2,m
149.48823,291.28918,55817.9,2024-11-19T08:40:13Z,1,2339119.0,m,m,m^2,m
149.59608,158.574601,30386.7,2024-11-28T17:47:14Z,1,2339119.0,m,m,m^2,m
-999999999999.0,62.372988,11952.1,2024-12-10T05:25:18Z,3,2339119.0,m,m,m^2,m
149.47891,146.128553,28001.7,2024-12-19T14:32:18Z,1,2339119.0,m,m,m^2,m
149.96116,133.599718,25600.9,2025-01-09T11:17:22Z,2,2339119.0,m,m,m^2,m
149.94173,136.952326,26243.3,2025-01-20T22:55:27Z,1,2339119.0,m,m,m^2,m
149.77178,137.786364,26403.1,2025-01-30T08:02:27Z,1,2339119.0,m,m,m^2,m
149.59142,160.118327,30682.5,2025-02-10T19:40:30Z,1,2339119.0,m,m,m^2,m
149.29841,131.473966,25193.5,2025-02-20T04:47:32Z,1,2339119.0,m,m,m^2,m
148.97159,250.442055,46987.0,2023-07-28T11:23:22Z,1,2339306.0,m,m,m^2,m
147.52601,253.377676,47537.7,2023-08-06T20:30:23Z,1,2339306.0,m,m,m^2,m
149.41338,200.359343,37590.6,2023-08-27T17:15:28Z,1,2339306.0,m,m,m^2,m
149.2191,248.856998,46689.6,2023-09-08T04:53:34Z,1,2339306.0,m,m,m^2,m
149.13806,204.702821,38405.5,2023-09-17T14:00:34Z,1,2339306.0,m,m,m^2,m
148.9606,233.553113,43818.3,2023-09-29T01:38:37Z,1,2339306.0,m,m,m^2,m
149.6188,77.561286,14551.7,2023-10-08T10:45:35Z,1,2339306.0,m,m,m^2,m
149.1245,372.898248,69961.7,2023-10-19T22:23:41Z,1,2339306.0,m,m,m^2,m
149.48334,201.148416,37738.7,2023-10-29T07:30:41Z,1,2339306.0,m,m,m^2,m
149.60403,329.220694,61767.1,2023-11-09T19:08:46Z,1,2339306.0,m,m,m^2,m
149.76641,191.625299,35952.0,2023-11-19T04:15:46Z,1,2339306.0,m,m,m^2,m
149.24344,295.132376,55371.6,2023-11-30T15:53:52Z,1,2339306.0,m,m,m^2,m
149.47187,205.204447,38499.7,2023-12-10T01:00:51Z,2,2339306.0,m,m,m^2,m
-999999999999.0,40.004243,7505.4,2023-12-21T12:38:56Z,3,2339306.0,m,m,m^2,m
149.69757,241.009682,45217.3,2023-12-30T21:45:57Z,1,2339306.0,m,m,m^2,m
150.2299,252.826113,47434.3,2024-01-11T09:24:01Z,1,2339306.0,m,m,m^2,m
151.34873,233.090259,43731.5,2024-01-20T18:31:02Z,1,2339306.0,m,m,m^2,m
153.65831,504.897431,94726.9,2024-02-01T06:09:07Z,1,2339306.0,m,m,m^2,m
150.6161,205.878798,38626.2,2024-02-10T15:16:07Z,1,2339306.0,m,m,m^2,m
149.75328,218.966685,41081.7,2024-02-22T02:54:12Z,1,2339306.0,m,m,m^2,m
150.28309,204.705419,38406.0,2024-03-02T12:01:12Z,1,2339306.0,m,m,m^2,m
150.51196,244.102826,45797.6,2024-03-13T23:39:15Z,1,2339306.0,m,m,m^2,m
150.34573,195.489489,36677.0,2024-03-23T08:46:15Z,1,2339306.0,m,m,m^2,m
153.70994,860.112336,161370.9,2024-04-03T20:24:19Z,2,2339306.0,m,m,m^2,m
153.9468,421.634772,79105.5,2024-04-13T05:31:20Z,2,2339306.0,m,m,m^2,m
151.66448,1347.29983,252775.2,2024-04-24T17:09:26Z,1,2339306.0,m,m,m^2,m
151.6035,216.307532,40582.8,2024-05-04T02:16:23Z,1,2339306.0,m,m,m^2,m
150.5923,243.255872,45638.7,2024-05-15T13:54:30Z,1,2339306.0,m,m,m^2,m
150.28865,218.288944,40954.5,2024-05-24T23:01:28Z,2,2339306.0,m,m,m^2,m
150.16319,295.230436,55390.0,2024-06-05T10:39:36Z,1,2339306.0,m,m,m^2,m
149.91618,219.70463,41220.1,2024-06-14T19:46:35Z,0,2339306.0,m,m,m^2,m
149.59035,386.424939,72499.5,2024-06-26T07:24:39Z,1,2339306.0,m,m,m^2,m
149.85876,202.591886,38009.5,2024-07-05T16:31:37Z,1,2339306.0,m,m,m^2,m
152.63262,224.029529,42031.5,2024-07-17T04:09:43Z,0,2339306.0,m,m,m^2,m
150.10841,180.807405,33922.4,2024-07-26T13:16:43Z,1,2339306.0,m,m,m^2,m
149.64346,272.2003,51069.2,2024-08-07T00:54:48Z,1,2339306.0,m,m,m^2,m
149.44532,264.415532,49608.6,2024-08-16T10:01:48Z,1,2339306.0,m,m,m^2,m
149.41721,250.892633,47071.5,2024-08-27T21:39:52Z,1,2339306.0,m,m,m^2,m
149.34563,316.853216,59446.8,2024-09-06T06:46:53Z,2,2339306.0,m,m,m^2,m
149.50265,102.209554,19176.2,2024-09-17T18:24:58Z,2,2339306.0,m,m,m^2,m
149.41778,145.887383,27370.8,2024-10-08T15:10:05Z,1,2339306.0,m,m,m^2,m
149.35071,127.629915,23945.4,2024-10-18T00:17:05Z,1,2339306.0,m,m,m^2,m
149.39337,178.176346,33428.8,2024-10-29T11:55:09Z,1,2339306.0,m,m,m^2,m
149.49924,297.899545,55890.8,2024-11-19T08:40:13Z,1,2339306.0,m,m,m^2,m
149.55153,191.967009,36016.1,2024-11-28T17:47:14Z,1,2339306.0,m,m,m^2,m
154.06132,112.837508,21170.1,2024-12-10T05:25:18Z,3,2339306.0,m,m,m^2,m
149.51999,108.937206,20438.4,2024-12-19T14:32:18Z,1,2339306.0,m,m,m^2,m
149.92195,161.770251,30350.7,2025-01-09T11:17:22Z,2,2339306.0,m,m,m^2,m
149.97711,148.789178,27915.2,2025-01-20T22:55:27Z,1,2339306.0,m,m,m^2,m
149.81137,145.307192,27262.0,2025-01-30T08:02:27Z,1,2339306.0,m,m,m^2,m
149.65252,113.883144,21366.3,2025-02-10T19:40:30Z,1,2339306.0,m,m,m^2,m
149.3504,158.434984,29725.0,2025-02-20T04:47:32Z,1,2339306.0,m,m,m^2,m
149.15387,191.395728,43437.8,2023-07-28T11:23:22Z,1,2339533.0,m,m,m^2,m
147.53971,174.183284,39531.4,2023-08-06T20:30:23Z,1,2339533.0,m,m,m^2,m
149.35617,242.085996,54942.1,2023-08-27T17:15:28Z,1,2339533.0,m,m,m^2,m
149.24949,229.02869,51978.7,2023-09-08T04:53:34Z,1,2339533.0,m,m,m^2,m
149.35919,219.290176,49768.5,2023-09-17T14:00:34Z,1,2339533.0,m,m,m^2,m
149.07204,184.551391,41884.4,2023-09-29T01:38:37Z,1,2339533.0,m,m,m^2,m
149.50427,59.843423,13581.6,2023-10-08T10:45:35Z,1,2339533.0,m,m,m^2,m
149.41768,259.54593,58904.7,2023-10-19T22:23:41Z,1,2339533.0,m,m,m^2,m
149.54631,213.328519,48415.5,2023-10-29T07:30:41Z,1,2339533.0,m,m,m^2,m
149.65397,290.176135,65856.3,2023-11-09T19:08:46Z,1,2339533.0,m,m,m^2,m
149.70508,243.252887,55206.9,2023-11-19T04:15:46Z,1,2339533.0,m,m,m^2,m
149.44589,212.551999,48239.3,2023-11-30T15:53:52Z,1,2339533.0,m,m,m^2,m
149.44552,217.939339,49461.9,2023-12-10T01:00:51Z,2,2339533.0,m,m,m^2,m
149.38596,158.182095,35899.9,2023-12-21T12:38:56Z,1,2339533.0,m,m,m^2,m
149.68661,344.764422,78245.2,2023-12-30T21:45:57Z,1,2339533.0,m,m,m^2,m
150.32454,325.414451,73853.7,2024-01-11T09:24:01Z,1,2339533.0,m,m,m^2,m
151.44117,230.002005,52199.6,2024-01-20T18:31:02Z,1,2339533.0,m,m,m^2,m
153.63072,298.723997,67796.2,2024-02-01T06:09:07Z,1,2339533.0,m,m,m^2,m
150.67178,201.906483,45823.2,2024-02-10T15:16:07Z,1,2339533.0,m,m,m^2,m
149.33359,115.334269,26175.4,2024-02-22T02:54:12Z,1,2339533.0,m,m,m^2,m
150.26575,271.994664,61729.9,2024-03-02T12:01:12Z,1,2339533.0,m,m,m^2,m
150.75073,264.114457,59941.5,2024-03-13T23:39:15Z,1,2339533.0,m,m,m^2,m
150.39261,217.689112,49405.1,2024-03-23T08:46:15Z,1,2339533.0,m,m,m^2,m
153.63438,455.077185,103281.0,2024-04-03T20:24:19Z,2,2339533.0,m,m,m^2,m
154.02425,291.713569,66205.2,2024-04-13T05:31:20Z,2,2339533.0,m,m,m^2,m
151.30271,1721.904115,390790.8,2024-04-24T17:09:26Z,1,2339533.0,m,m,m^2,m
151.6509,182.828501,41493.4,2024-05-04T02:16:23Z,1,2339533.0,m,m,m^2,m
150.64793,178.146177,40430.8,2024-05-15T13:54:30Z,1,2339533.0,m,m,m^2,m
150.32729,225.392287,51153.4,2024-05-24T23:01:28Z,2,2339533.0,m,m,m^2,m
150.31291,266.415289,60463.7,2024-06-05T10:39:36Z,1,2339533.0,m,m,m^2,m
149.90182,210.831881,47848.9,2024-06-14T19:46:35Z,0,2339533.0,m,m,m^2,m
149.7941,399.549731,90678.9,2024-06-26T07:24:39Z,1,2339533.0,m,m,m^2,m
149.86826,192.681721,43729.6,2024-07-05T16:31:37Z,1,2339533.0,m,m,m^2,m
152.64696,199.172196,45202.7,2024-07-17T04:09:43Z,1,2339533.0,m,m,m^2,m
150.16151,217.339093,49325.7,2024-07-26T13:16:43Z,1,2339533.0,m,m,m^2,m
149.70259,242.127901,54951.6,2024-08-07T00:54:48Z,1,2339533.0,m,m,m^2,m
149.47583,274.691925,62342.1,2024-08-16T10:01:48Z,1,2339533.0,m,m,m^2,m
149.38658,282.286776,64065.8,2024-08-27T21:39:52Z,1,2339533.0,m,m,m^2,m
149.35958,235.161794,53370.6,2024-09-06T06:46:53Z,2,2339533.0,m,m,m^2,m
149.67837,116.642017,26472.2,2024-09-17T18:24:58Z,2,2339533.0,m,m,m^2,m
149.43424,215.437631,48894.2,2024-10-08T15:10:05Z,1,2339533.0,m,m,m^2,m
149.32568,89.622025,20340.0,2024-10-18T00:17:05Z,1,2339533.0,m,m,m^2,m
149.34924,187.322269,42513.3,2024-10-29T11:55:09Z,1,2339533.0,m,m,m^2,m
149.56908,252.174362,57231.7,2024-11-19T08:40:13Z,1,2339533.0,m,m,m^2,m
149.65235,193.621957,43943.0,2024-11-28T17:47:14Z,1,2339533.0,m,m,m^2,m
-999999999999.0,60.990191,13841.9,2024-12-10T05:25:18Z,3,2339533.0,m,m,m^2,m
149.55818,158.156536,35894.1,2024-12-19T14:32:18Z,1,2339533.0,m,m,m^2,m
150.00332,212.325242,48187.8,2025-01-09T11:17:22Z,2,2339533.0,m,m,m^2,m
149.96182,180.815008,41036.5,2025-01-20T22:55:27Z,1,2339533.0,m,m,m^2,m
149.90019,164.523878,37339.1,2025-01-30T08:02:27Z,1,2339533.0,m,m,m^2,m
149.7866,181.929576,41289.4,2025-02-10T19:40:30Z,1,2339533.0,m,m,m^2,m
149.30448,161.840592,36730.2,2025-02-20T04:47:32Z,1,2339533.0,m,m,m^2,m
149.32746,163.804396,32194.2,2023-07-28T11:23:22Z,1,2339730.0,m,m,m^2,m
147.62923,333.511972,65548.7,2023-08-06T20:30:23Z,1,2339730.0,m,m,m^2,m
149.38433,194.481743,38223.6,2023-08-27T17:15:28Z,1,2339730.0,m,m,m^2,m
149.18223,151.065466,29690.5,2023-09-08T04:53:34Z,1,2339730.0,m,m,m^2,m
149.20996,157.2816,30912.2,2023-09-17T14:00:34Z,1,2339730.0,m,m,m^2,m
149.08773,291.83987,57358.4,2023-09-29T01:38:37Z,1,2339730.0,m,m,m^2,m
149.40936,44.619315,8769.5,2023-10-08T10:45:35Z,1,2339730.0,m,m,m^2,m
149.41785,425.974298,83721.3,2023-10-19T22:23:41Z,1,2339730.0,m,m,m^2,m
149.57683,183.247511,36015.6,2023-10-29T07:30:41Z,1,2339730.0,m,m,m^2,m
149.64703,410.704441,80720.1,2023-11-09T19:08:46Z,1,2339730.0,m,m,m^2,m
149.61528,172.924475,33986.7,2023-11-19T04:15:46Z,1,2339730.0,m,m,m^2,m
149.34662,282.143984,55452.8,2023-11-30T15:53:52Z,1,2339730.0,m,m,m^2,m
149.42846,192.83932,37900.8,2023-12-10T01:00:51Z,2,2339730.0,m,m,m^2,m
149.32801,168.126624,33043.7,2023-12-21T12:38:56Z,1,2339730.0,m,m,m^2,m
149.77046,214.316163,42121.8,2023-12-30T21:45:57Z,1,2339730.0,m,m,m^2,m
150.36137,309.481652,60825.7,2024-01-11T09:24:01Z,1,2339730.0,m,m,m^2,m
151.3125,137.311049,26987.2,2024-01-20T18:31:02Z,1,2339730.0,m,m,m^2,m
153.56915,322.469087,63378.3,2024-02-01T06:09:07Z,1,2339730.0,m,m,m^2,m
150.64844,220.363476,43310.4,2024-02-10T15:16:07Z,1,2339730.0,m,m,m^2,m
149.18545,79.057943,15538.1,2024-02-22T02:54:12Z,2,2339730.0,m,m,m^2,m
